names,prices,ratings,totalratings,restypes,areas,offers
Indori Bhiya,3.020+ ratingsClosedFor Delivery₹ 200Cost for two,3.020+ ratingsClosedFor Delivery₹ 200Cost for two,20+ ratings,"Restaurant ClosedSouth Indian, Chaat, Continental, Salads, Desserts","Sri Sai Nagar, Madhapur",Offer10% off up to ₹100 on orders above ₹400 | Use code JUMBO10% off up to ₹40 | Use code SWIGGYIT
Norfest - The Dhaba,4.150+ ratings-- MINSDelivery Time₹ 300Cost for two,4.150+ ratings-- MINSDelivery Time₹ 300Cost for two,50+ ratings,"North Indian, Beverages","Madhapur, Madhapur",Offer20% off up to ₹50 | Use code SWIGGYIT
chai samosa,--Too Few Ratings-- MINSDelivery Time₹ 150Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 150Cost for two,Too Few Ratings,"Beverages, Snacks, Fast Food","Madhapur, Madhapur",
Indian Veg,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Restaurant ClosedIndian, Continental, Biryani, South Indian, North Indian, Beverages","Madhapur, Madhapur",
Punjab Bistro,4.120+ ratings-- MINSDelivery Time₹ 700Cost for two,4.120+ ratings-- MINSDelivery Time₹ 700Cost for two,20+ ratings,"North Indian, Indian, Tandoor, Punjabi","Inorbit Mall, Madhapur",
DELHI AGRA CHAT BHANDAR,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,Too Few Ratings,"Opens next at 2 pm, tomorrowBeverages, Desserts, Snacks","Madhapur, Madhapur",
Flavours 360,--Too Few Ratings-- MINSDelivery Time₹ 500Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 500Cost for two,Too Few Ratings,"Chinese, North Indian","Madhapur, Madhapur",
Italian Express,--Too Few Ratings-- MINSDelivery Time₹ 400Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 400Cost for two,Too Few Ratings,Italian,"Madhapur, Madhapur",Offer20% off up to ₹300 on orders above ₹800 | Use code PARTY20% off up to ₹50 | Use code SWIGGYIT
AMRUTHAM HOME MADE FOOD COURT,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowIndian, Biryani","VIVEKANANDA NAGAR, Madhapur",
OBVSLY Gelato,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,Too Few Ratings,Ice Cream,"Kondapur, Madhapur",
Food Cart,3.8100+ ratings-- MINSDelivery Time₹ 250Cost for two,3.8100+ ratings-- MINSDelivery Time₹ 250Cost for two,100+ ratings,"North Indian, Chinese, Biryani","Sri Sai Nagar, Madhapur",
Hush Cafe,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,Too Few Ratings,"Beverages, Fast Food, Pizzas","Madhapur, Madhapur",
JK Frites,4.220+ ratingsClosedFor Delivery₹ 300Cost for two,4.220+ ratingsClosedFor Delivery₹ 300Cost for two,20+ ratings,"Opens next at 4 pm, tomorrowIndian","Opposite to Tata Service Centre,100 feet road,Madhapur, Madhapur",Offer35% off on orders above ₹100 up to ₹70
Green Bar Juices & More,4.5100+ ratings-- MINSDelivery Time₹ 200Cost for two,4.5100+ ratings-- MINSDelivery Time₹ 200Cost for two,100+ ratings,"Juices, Chinese","Ayyappa Society, Madhapur",
Sanglo kichen,--Too Few RatingsClosedFor Delivery₹ 500Cost for two,--Too Few RatingsClosedFor Delivery₹ 500Cost for two,Too Few Ratings,"Opens next at 7 am, tomorrowSouth Indian, Chinese, Indian","Madhapur, Madhapur",
 Burger Box office,--Too Few RatingsClosedFor Delivery₹ 350Cost for two,--Too Few RatingsClosedFor Delivery₹ 350Cost for two,Too Few Ratings,"Opens next at 9 am, tomorrowBiryani, South Indian","Madhapur, Madhapur",Offer50% off up to ₹100 | Use code SWIGGYIT
Krispy Kreme,4.450+ ratings-- MINSDelivery Time₹ 170Cost for two,4.450+ ratings-- MINSDelivery Time₹ 170Cost for two,50+ ratings,"Desserts, Beverages","Inorbit Mall
, Madhapur",Offer30% off on all orders valid on Doughnuts on Offer
Wok to Walk,4.2100+ ratings-- MINSDelivery Time₹ 300Cost for two,4.2100+ ratings-- MINSDelivery Time₹ 300Cost for two,100+ ratings,"Asian, Chinese","Madhapur Metro Station, Jubilee Hills, Madhapur",Offer30% off up to ₹75 | Use code SWIGGYIT
Milkshake Mafia,4.1100+ ratingsClosedFor Delivery₹ 250Cost for two,4.1100+ ratingsClosedFor Delivery₹ 250Cost for two,100+ ratings,"Opens next at 12 noon, tomorrowBeverages, Desserts","100 feet road, Madhapur",Offer50% off on all orders
Meghduth Biryanis,4.0500+ ratings-- MINSDelivery Time₹ 300Cost for two,4.0500+ ratings-- MINSDelivery Time₹ 300Cost for two,500+ ratings,"Biryani, South Indian","Madhapur, Madhapur",Offer40% off on all orders except on Extra's
Mom's Kitchen,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowChinese","Hi-tech Theater lane, Madhapur",
Cold Stone Creamery,3.9100+ ratings-- MINSDelivery Time₹ 200Cost for two,3.9100+ ratings-- MINSDelivery Time₹ 200Cost for two,100+ ratings,"Ice Cream, Desserts, Beverages","APIIC Software Layout, Madhapur",Offer25% off up to ₹125 on orders above ₹400 | Use code JUMBO40% off up to ₹80 | Use code SWIGGYIT
Bris Zone,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Restaurant ClosedIndian, Fast Food, North Indian, Biryani, Beverages","Madhapur, Madhapur",
Khichdi Experiment,4.21000+ ratings-- MINSDelivery Time₹ 250Cost for two,4.21000+ ratings-- MINSDelivery Time₹ 250Cost for two,1000+ ratings,"Home Food, Indian","Madhapur, Madhapur",
Canady Burger,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,Too Few Ratings,"Punjabi, Fast Food, North Indian, Beverages","Madhapur, Madhapur",Offer40% off on all orders
Lo! - Low Carb and Keto Foods,4.3100+ ratings-- MINSDelivery Time₹ 100Cost for two,4.3100+ ratings-- MINSDelivery Time₹ 100Cost for two,100+ ratings,"Healthy Food, Keto, North Indian, Continental","Sai Silicon Heights, Madhapur",Offer15% off up to ₹100 on orders above ₹500 | Use code JUMBO60% off up to ₹120 | Use code DEAL60
French Panini by Olio Gourmet,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,Restaurant ClosedIndian,"Madhapur, Madhapur",
UFO Fries and Corn,4.1100+ ratingsClosedFor Delivery₹ 250Cost for two,4.1100+ ratingsClosedFor Delivery₹ 250Cost for two,100+ ratings,"Opens next at 1 pm, tomorrowSnacks","Madhapur, Madhapur",Offer15% off up to ₹300 on orders above ₹600 | Use code PARTY30% off up to ₹75 | Use code SWIGGYIT
wingswala,--Too Few RatingsClosedFor Delivery₹ 299Cost for two,--Too Few RatingsClosedFor Delivery₹ 299Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowFast Food","Madhapur, Madhapur",
Yummpy's,3.520+ ratingsClosedFor Delivery₹ 300Cost for two,3.520+ ratingsClosedFor Delivery₹ 300Cost for two,20+ ratings,"Opens next at 12:30 pm, tomorrowChinese, Fast Food, Indian","Hitech city metro station, Madhapur",Offer30% off up to ₹75 | Use code SWIGGYIT
Roll Express,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 8 am, tomorrowChinese, North Indian","Near Reliance Fresh store, Madhapur, Madhapur",
Hungry Buds,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowIndian","Madhapur, Madhapur",
Rajasthan Restaurant,4.0100+ ratings-- MINSDelivery Time₹ 350Cost for two,4.0100+ ratings-- MINSDelivery Time₹ 350Cost for two,100+ ratings,"North Indian, Rajasthani","Hitech City Min Road, Madhapur",Offer30% off up to ₹150 on orders above ₹400 | Use code JUMBO
Chinese Chaat @ Al Pesto,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowChinese, Fast Food","Madhapur, Madhapur",Offer40% off up to ₹80 | Use code SWIGGYIT
Attarinti Dosa,3.820+ ratingsClosedFor Delivery₹ 200Cost for two,3.820+ ratingsClosedFor Delivery₹ 200Cost for two,20+ ratings,"Opens next at 7 pm, tomorrowSouth Indian","Image Gardens Road, Madhapur",
Cafe Coffee Day,3.920+ ratingsClosedFor Delivery₹ 300Cost for two,3.920+ ratingsClosedFor Delivery₹ 300Cost for two,20+ ratings,"Restaurant ClosedBeverages, Snacks, Desserts","L&T HITECH CITY MALL HYDERABAD, Madhapur",Offer30% off up to ₹300 on orders above ₹600 | Use code PARTY50% off up to ₹100 | Use code TRYNEW
Teluguness,--Too Few Ratings-- MINSDelivery Time₹ 700Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 700Cost for two,Too Few Ratings,South Indian,"Madhapur, Madhapur",
The Food Project,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowPan-Asian, Juices, Beverages","D Block, Kavuri Hills, Madhapur",
Hyderabadi Chai Adda,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 9 am, tomorrowBeverages, Snacks","My Home Abhra, Madhapur",
Ironhill Cafe,3.9100+ ratings-- MINSDelivery Time₹ 399Cost for two,3.9100+ ratings-- MINSDelivery Time₹ 399Cost for two,100+ ratings,"Cafe, Continental, Desserts, Italian","Madhapur, Madhapur",Offer10% off up to ₹100 on orders above ₹500 | Use code JUMBO15% off up to ₹45 | Use code SWIGGYIT
Southern Spice,3.420+ ratingsClosedFor Delivery₹ 700Cost for two,3.420+ ratingsClosedFor Delivery₹ 700Cost for two,20+ ratings,"Opens next at 11 am, tomorrowAndhra, Biryani, North Indian","100 ft Rd, Madhapur",Offer40% off up to ₹400 on orders above ₹800 | Use code PARTY50% off up to ₹100 | Use code TRYNEW
Kachori Club,--Too Few Ratings-- MINSDelivery Time₹ 240Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 240Cost for two,Too Few Ratings,Snacks,"Madhapur, Madhapur",
Mama Mia! - Italian Ice Creams,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowIce Cream, Desserts, Bakery, Sweets","Madhapur, Madhapur",
Have it Food Court,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowBiryani, Beverages, Chinese","Madhapur, Madhapur",
OYE LASSI,--Too Few RatingsClosedFor Delivery₹ 150Cost for two,--Too Few RatingsClosedFor Delivery₹ 150Cost for two,Too Few Ratings,"Opens next at 10 am, tomorrowFast Food","Madhapur, Madhapur",
 soulful takeaway,--Too Few RatingsClosedFor Delivery₹ 160Cost for two,--Too Few RatingsClosedFor Delivery₹ 160Cost for two,Too Few Ratings,"Opens next at 8 am, tomorrowHealthy Food, Juices","Madhapur, Madhapur",Offer20% off up to ₹300 on orders above ₹800 | Use code PARTY20% off up to ₹50 | Use code SWIGGYIT
BIRYANIS AND KABABS,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowBiryani, Chinese, North Indian","Madhapur, Madhapur",
Kaati Zone Rolls & Wraps,4.0100+ ratings-- MINSDelivery Time₹ 150Cost for two,4.0100+ ratings-- MINSDelivery Time₹ 150Cost for two,100+ ratings,"Beverages, Biryani, Indian","Madhapur, Madhapur",Offer30% off up to ₹150 on orders above ₹400 | Use code JUMBO40% off up to ₹80 | Use code SWIGGYIT
RAJU GARU PULAO,3.750+ ratings-- MINSDelivery Time₹ 300Cost for two,3.750+ ratings-- MINSDelivery Time₹ 300Cost for two,50+ ratings,South Indian,"Ayyappa Society, Madhapur",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO30% off up to ₹75 | Use code SWIGGYIT
CHICKEN COMPANY-THE ALLEY,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowBeverages, Fast Food, Pizzas","Madhapur, Madhapur",
Eat Burp Repeat,4.3100+ ratings-- MINSDelivery Time₹ 300Cost for two,4.3100+ ratings-- MINSDelivery Time₹ 300Cost for two,100+ ratings,"Chinese, Lebanese, Continental, Fast Food","100 Feet Road, Madhapur",Offer15% off up to ₹100 on orders above ₹400 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
Express Cafe by Holiday Inn Express,--Too Few RatingsClosedFor Delivery₹ 800Cost for two,--Too Few RatingsClosedFor Delivery₹ 800Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowIndian, Chinese","Hitech City, Madhapur",Offer30% off up to ₹150 on orders above ₹400 | Use code JUMBO50% off up to ₹100 | Use code TRYNEW
The Street Hub,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowIndian","Madhapur, Madhapur",
Biryani Patang,--Too Few RatingsClosedFor Delivery₹ 150Cost for two,--Too Few RatingsClosedFor Delivery₹ 150Cost for two,Too Few Ratings,"Opens next at 11:30 am, tomorrowIndian, Biryani","Madhapur, Madhapur",Offer20% off up to ₹50 | Use code SWIGGYIT
Da Yellow Cane,--Too Few RatingsClosedFor Delivery₹ 700Cost for two,--Too Few RatingsClosedFor Delivery₹ 700Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowContinental","Opposite to Trident Hotel, Madhapur",
Makers of Milkshakes,3.9100+ ratings-- MINSDelivery Time₹ 350Cost for two,3.9100+ ratings-- MINSDelivery Time₹ 350Cost for two,100+ ratings,"Desserts, Beverages","Near Kothaguda Signal, Kondapur",Offer20% off up to ₹300 on orders above ₹800 | Use code PARTY30% off up to ₹75 | Use code SWIGGYIT
Yaara di Rasoi,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 11:59 am, tomorrowPunjabi, North Indian","Kondapur, Kondapur",
Bihari North Indian Hotel.,4.0100+ ratings-- MINSDelivery Time₹ 150Cost for two,4.0100+ ratings-- MINSDelivery Time₹ 150Cost for two,100+ ratings,North Indian,"Kondapur, Kondapur",
Sri Narsing Bhelpuri & Juice Centre,3.720+ ratingsClosedFor Delivery₹ 200Cost for two,3.720+ ratingsClosedFor Delivery₹ 200Cost for two,20+ ratings,"Opens next at 12 noon, tomorrowJuices, Chaat, Snacks","Miyapur Road, Kondapur",
Chef Bakers - Cakes ,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 10 am, tomorrowDesserts","botanical garden road, Kondapur",
New York Slice Pizza,4.1100+ ratings-- MINSDelivery Time₹ 400Cost for two,4.1100+ ratings-- MINSDelivery Time₹ 400Cost for two,100+ ratings,"Pizzas, Italian, Fast Food","Kondapur, Kondapur",Offer30% off up to ₹150 on orders above ₹400 | Use code JUMBO40% off up to ₹80 | Use code SWIGGYIT
FOOD OK PLEASE,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowPastas, Pizzas, Snacks, Beverages","Kondapur, Kondapur",
The Shawarma Pride,3.750+ ratings-- MINSDelivery Time₹ 200Cost for two,3.750+ ratings-- MINSDelivery Time₹ 200Cost for two,50+ ratings,Fast Food,"Medchal-malkajgiri, Kondapur",Offer50% off on orders above ₹159 up to ₹100
Mandi Delight,--Too Few Ratings-- MINSDelivery Time₹ 499Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 499Cost for two,Too Few Ratings,"Indian, Continental","Kondapur, Kondapur",
Chicken Darbaar,3.020+ ratingsClosedFor Delivery₹ 150Cost for two,3.020+ ratingsClosedFor Delivery₹ 150Cost for two,20+ ratings,"Opens next at 11 am, tomorrowFast Food","Vutla Sattaiah colony, Hanuman Nagar, Kondapur",Offer50% off on orders above ₹129
Dibbarotti,3.8100+ ratings-- MINSDelivery Time₹ 200Cost for two,3.8100+ ratings-- MINSDelivery Time₹ 200Cost for two,100+ ratings,South Indian,"Khajaguda, Mainroad, Kondapur",
Bliss Punjabi Paratha House,4.2100+ ratings-- MINSDelivery Time₹ 200Cost for two,4.2100+ ratings-- MINSDelivery Time₹ 200Cost for two,100+ ratings,North Indian,"Police  colony road, Kondapur",Offer15% off up to ₹100 on orders above ₹400 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
Pizza Hut,3.850+ ratings-- MINSDelivery Time₹ 300Cost for two,3.850+ ratings-- MINSDelivery Time₹ 300Cost for two,50+ ratings,Pizzas,"Sarath City Mall, Kondapur",
Kolkata House,4.11000+ ratings-- MINSDelivery Time₹ 300Cost for two,4.11000+ ratings-- MINSDelivery Time₹ 300Cost for two,1000+ ratings,"Seafood, North Indian, Bengali, Chinese","Kondapur, Kondapur",Offer15% off up to ₹100 on orders above ₹500 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
The Misty Thickshakes,--Too Few RatingsClosedFor Delivery₹ 138Cost for two,--Too Few RatingsClosedFor Delivery₹ 138Cost for two,Too Few Ratings,"Opens next at 7 am, WednesdayBeverages, Desserts","Kondapur, Kondapur",
World of Tortillas,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,Too Few Ratings,Mexican,"RAJARAJESWARI NAGAR, Kondapur",
Santosh Dhaba Exclusive,4.01000+ ratings-- MINSDelivery Time₹ 300Cost for two,4.01000+ ratings-- MINSDelivery Time₹ 300Cost for two,1000+ ratings,"North Indian, Chinese","Kothaguda, Kondapur",Offer25% off up to ₹125 on orders above ₹400 | Use code JUMBO
Santosh Dhaba Exclusive,4.01000+ ratings-- MINSDelivery Time₹ 300Cost for two,4.01000+ ratings-- MINSDelivery Time₹ 300Cost for two,1000+ ratings,"North Indian, Chinese","Kothaguda, Kondapur",Offer25% off up to ₹125 on orders above ₹400 | Use code JUMBO
Biryaniwala-Desh Videsh Se,3.3100+ ratings-- MINSDelivery Time₹ 200Cost for two,3.3100+ ratings-- MINSDelivery Time₹ 200Cost for two,100+ ratings,"Biryani, Hyderabadi, North Indian","Kondapur, Kondapur",Offer10% off up to ₹300 on orders above ₹600 | Use code PARTY50% off up to ₹100 | Use code TRYNEW
Scoops Ice Cream,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 8 am, tomorrowDesserts, Ice Cream, Beverages","Kondapur, Kondapur",
Juicemaker,--Too Few RatingsClosedFor Delivery₹ 250Cost for two,--Too Few RatingsClosedFor Delivery₹ 250Cost for two,Too Few Ratings,"Opens next at 9 am, tomorrowBeverages, Juices, Healthy Food","Ashok nagar, Kondapur",
La Primo Darbar,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,Too Few Ratings,"Opens next at 10 am, tomorrowIndian","Kondapur, Kondapur",Offer10% off up to ₹300 on orders above ₹800 | Use code PARTY10% off up to ₹40 | Use code SWIGGYIT
Universal Shawarma,3.320+ ratingsClosedFor Delivery₹ 200Cost for two,3.320+ ratingsClosedFor Delivery₹ 200Cost for two,20+ ratings,"Opens next at 12:30 pm, tomorrowArabian, Fast Food","Kondapur, Kondapur",
SLAY Coffee,4.1100+ ratings-- MINSDelivery Time₹ 200Cost for two,4.1100+ ratings-- MINSDelivery Time₹ 200Cost for two,100+ ratings,"Beverages, Cafe, Desserts","Hanuman Nagar, Kondapur",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO30% off up to ₹75 | Use code SWIGGYIT
Nanking C.R - Estd 1957,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,Too Few Ratings,"Opens next at 10 am, tomorrowChinese","Kondapur, Kondapur",
SRI RAGHAVENDRA,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Restaurant ClosedBeverages, South Indian","Kondapur, Kondapur",
Marbella's Pizza,3.820+ ratings-- MINSDelivery Time₹ 750Cost for two,3.820+ ratings-- MINSDelivery Time₹ 750Cost for two,20+ ratings,"Pizzas, Pastas, Italian, American, Italian-American, Desserts","Signature Towers, Kondapur",Offer10% off up to ₹300 on orders above ₹1000 | Use code PARTY50% off up to ₹100 | Use code TRYNEW
Namkeen By Chaat Company,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 7 am, tomorrowCafe, Beverages, Snacks, Street Food","Road No: 63, Jubilee Hills, Jubilee Hills",
Cafe Coffee Day,4.0100+ ratings-- MINSDelivery Time₹ 300Cost for two,4.0100+ ratings-- MINSDelivery Time₹ 300Cost for two,100+ ratings,"Beverages, Snacks, Desserts","Road Number 1, Jubilee Hills",Offer30% off up to ₹300 on orders above ₹600 | Use code PARTY50% off up to ₹100 | Use code TRYNEW
Wokstars,--Too Few Ratings-- MINSDelivery Time₹ 400Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 400Cost for two,Too Few Ratings,"Asian, Chinese","Near Apollo Hospital, Road 92, Jubilee Hills",
Newyork Cafe,--Too Few RatingsClosedFor Delivery₹ 600Cost for two,--Too Few RatingsClosedFor Delivery₹ 600Cost for two,Too Few Ratings,"Opens next at 6 pm, tomorrowFast Food, Pizzas","STREET59 FOOD & GAMING, Jubilee Hills",
Chicken Shawarma Hub,4.1100+ ratings-- MINSDelivery Time₹ 200Cost for two,4.1100+ ratings-- MINSDelivery Time₹ 200Cost for two,100+ ratings,"Arabian, Fast Food","PJR Nagar, Jubilee Hills",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO30% off up to ₹75 | Use code SWIGGYIT
Grab a Bowl,4.1100+ ratings-- MINSDelivery Time₹ 200Cost for two,4.1100+ ratings-- MINSDelivery Time₹ 200Cost for two,100+ ratings,"North Indian, South Indian, Healthy Food, Juices","Road No 72, Jubilee Hills",Offer15% off up to ₹100 on orders above ₹400 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
Green Leaf,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 7 am, tomorrowSouth Indian","Jubilee Hills, Jubilee Hills",
Southern Spice,3.920+ ratingsClosedFor Delivery₹ 600Cost for two,3.920+ ratingsClosedFor Delivery₹ 600Cost for two,20+ ratings,"Opens next at 11 am, tomorrowAndhra, Biryani, North Indian","Film Nagar, Jubilee Hills",Offer20% off up to ₹50 | Use code SWIGGYIT
Dimmy's Pan Palace,4.3100+ ratings-- MINSDelivery Time₹ 100Cost for two,4.3100+ ratings-- MINSDelivery Time₹ 100Cost for two,100+ ratings,"Chaat, Desserts, Juices","Jubilee Hills Road No 36, Jubilee Hills",
SodaBottleOpenerWala,4.1500+ ratings-- MINSDelivery Time₹ 500Cost for two,4.1500+ ratings-- MINSDelivery Time₹ 500Cost for two,500+ ratings,"Parsi, Hyderabadi, Haleem, Biryani, Beverages, Indian, Cafe, Fast Food, Bakery, Desserts, Street Food","Jubilee Hills Road No 1, Jubilee Hills",
Vivaha Bhojanambu,4.01000+ ratings-- MINSDelivery Time₹ 500Cost for two,4.01000+ ratings-- MINSDelivery Time₹ 500Cost for two,1000+ ratings,"Andhra, South Indian, Desserts","Road No 10, Jubilee Hills",Offer50% off up to ₹100 | Use code TRYNEW50% off up to ₹100 | Use code SWIGGYIT
Chefs Garage,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,Too Few Ratings,"Fast Food, Juices","Road No. 36,Jubilee Hills, Jubilee Hills",
Big Bowl,3.8100+ ratingsClosedFor Delivery₹ 250Cost for two,3.8100+ ratingsClosedFor Delivery₹ 250Cost for two,100+ ratings,"Opens next at 11:30 am, tomorrowChinese","CBI Colony, Jubilee Hills",Offer15% off up to ₹100 on orders above ₹400 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
Snakie Bites,3.720+ ratingsClosedFor Delivery₹ 450Cost for two,3.720+ ratingsClosedFor Delivery₹ 450Cost for two,20+ ratings,"Opens next at 12:30 pm, tomorrowContinental, Desserts","Jubilee Hills, Jubilee Hills",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
Royal Darbar,4.0100+ ratings-- MINSDelivery Time₹ 300Cost for two,4.0100+ ratings-- MINSDelivery Time₹ 300Cost for two,100+ ratings,"Seafood, Indian","Jubilee Hills, Jubilee Hills",Offer20% off up to ₹300 on orders above ₹800 | Use code PARTY30% off up to ₹75 | Use code SWIGGYIT
Aura Cafe,4.120+ ratings-- MINSDelivery Time₹ 1000Cost for two,4.120+ ratings-- MINSDelivery Time₹ 1000Cost for two,20+ ratings,Continental,"Road 10C, Jubilee Hills",
Hashi,4.3100+ ratings-- MINSDelivery Time₹ 1100Cost for two,4.3100+ ratings-- MINSDelivery Time₹ 1100Cost for two,100+ ratings,"Japanese, Thai, Chinese","Road Number 11, Jubilee Hills",Offer10% off up to ₹100 on orders above ₹400 | Use code JUMBO
Pure - Juice and Smoothie,4.120+ ratings-- MINSDelivery Time₹ 300Cost for two,4.120+ ratings-- MINSDelivery Time₹ 300Cost for two,20+ ratings,"Juices, Beverages","Prashasan Nagar, Jubilee Hills",
Concu,--Too Few RatingsClosedFor Delivery₹ 1000Cost for two,--Too Few RatingsClosedFor Delivery₹ 1000Cost for two,Too Few Ratings,"Restaurant ClosedDesserts, Continental, Italian, Cafe","Road No 37, Jubilee Hills",
Autumn Leaf Cafe,--Too Few RatingsClosedFor Delivery₹ 800Cost for two,--Too Few RatingsClosedFor Delivery₹ 800Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowCafe, Continental","Road 41, Jubilee Hills",
ABaoTime,4.2100+ ratings-- MINSDelivery Time₹ 250Cost for two,4.2100+ ratings-- MINSDelivery Time₹ 250Cost for two,100+ ratings,"Asian, Chinese, Indian","Rd Number 37, Jubilee Hills",Offer20% off up to ₹50 | Use code SWIGGYIT
Giggle Water Burgers,4.3100+ ratings-- MINSDelivery Time₹ 600Cost for two,4.3100+ ratings-- MINSDelivery Time₹ 600Cost for two,100+ ratings,"American, Beverages, Continental, European","Jubilee    Hills Road No 1, Jubilee Hills",
